统计时间：2017/08/21-00:00
身份证号            姓名           累计住宿月数   应缴费用总额   实缴费用总额   
11010819980221571X  刘文长         19.7           19600.0        19600.0        
152149824294029481  小李           15.0           17700.0        17300.0        
134356958623942983  小吴           8.0            8800.0         8800.0         
110108199703012210  张三           6.0            6000.0         6000.0         
123242153151353543  小钱           4.0            4800.0         4800.0         
122132142451515112  王二           3.0            3000.0         3000.0         
123424521525354566  小周           1.0            800.0          800.0          
120104196601012181  李四           1.0            1000.0         1000.0         
132421412425215153  小赵           0.5            600.0          600.0          
189439230893950294  小郑           0.0            1300.0         0.0            
